name,pay,age,nationality,shooting,passing,dribbling,Intercept,Stealing,goalkeeper_skill,team_position,team_jersey_number,value,club_name,
L. Messi,560000,33,Argentina,92,91,95,35,24,0,CAM,10,67500000,Barcelona,
Cristiano Ronaldo,220000,35,Portugal,93,81,89,32,24,0,LS,7,46000000,Juventus,
J. Oblak,125000,27,Slovenia,0,0,0,12,18,90,GK,13,75000000,Atletico Madrid,
R. Lewandowski,240000,31,Poland,91,78,85,42,19,0,ST,9,80000000,Bayern Munchen,
Neymar Jr,270000,28,Brazil,85,86,94,30,29,0,LW,10,90000000,Paris Saint-Germain,
K. De Bruyne,370000,29,Belgium,86,93,88,65,53,0,RCM,17,87000000,Manchester City,
K. Mbappe,160000,21,France,86,78,91,34,32,0,LS,7,105500000,Paris Saint-Germain,
M. ter Stegen,260000,28,Germany,0,0,0,13,10,88,GK,1,69500000,Barcelona,
V. van Dijk,210000,28,Netherlands,60,71,71,93,86,0,LCB,4,75500000,Liverpool,
Alisson,160000,27,Brazil,0,0,0,19,16,91,GK,1,62500000,Liverpool,
S. Mane,250000,28,Senegal,85,80,90,42,38,0,LW,10,78000000,Liverpool,
M. Salah,250000,28,Egypt,86,81,90,43,41,0,RW,11,78000000,Liverpool,
T. Courtois,250000,28,Belgium,0,0,0,18,16,85,GK,1,56000000,Real Madrid,
S. Aguero,300000,32,Argentina,90,77,88,29,24,0,SUB,10,53000000,Manchester City,
Sergio Ramos,300000,34,Spain,70,76,73,88,90,0,LCB,4,24500000,Real Madrid,
K. Benzema,350000,32,France,85,81,86,24,18,0,CF,9,53000000,Real Madrid,
M. Neuer,125000,34,Germany,0,0,0,10,11,86,GK,1,29000000,Bayern Munchen,
Casemiro,310000,28,Brazil,73,76,72,88,87,0,CDM,14,59500000,Real Madrid,
Ederson,195000,26,Brazil,0,0,0,15,8,86,GK,31,53500000,Manchester City,
R. Sterling,270000,25,England,81,79,90,53,47,0,LW,7,72500000,Manchester City,
J. Kimmich,145000,25,Germany,72,86,84,84,79,0,RDM,6,65000000,Bayern Munchen,
H. Kane,220000,26,England,91,80,80,36,38,0,ST,10,71000000,Tottenham Hotspur,
P. Dybala,190000,26,Argentina,85,84,92,48,40,0,RS,10,71000000,Juventus,
S. Handanoviƒç,100000,35,Slovenia,0,0,0,10,13,89,GK,1,16000000,Inter,
T. Kroos,310000,30,Germany,81,91,81,73,60,0,LCM,8,55000000,Real Madrid,
E. Hazard,350000,29,Belgium,82,83,92,27,22,0,LW,7,58000000,Real Madrid,
K. Koulibaly,140000,29,Senegal,28,55,68,89,87,0,LCB,26,50000000,Napoli,
N. Kante,190000,29,France,66,76,81,90,85,0,RDM,7,51000000,Chelsea,
J. Sancho,82000,20,England,74,81,91,41,32,0,RS,7,69500000,Borussia Dortmund,
T. Alexander-Arnold,110000,21,England,66,87,80,83,79,0,RB,66,60000000,Liverpool,
Bruno Fernandes,195000,25,Portugal,83,88,85,67,55,0,CAM,18,63000000,Manchester United,
A. Laporte,200000,26,France,50,72,68,89,88,0,LCB,14,56000000,Manchester City,
Fabinho,155000,26,Brazil,69,79,77,87,85,0,CDM,3,54500000,Liverpool,
A. Robertson,155000,26,Scotland,62,80,80,84,81,0,LB,26,53000000,Liverpool,
Bernardo Silva,230000,25,Portugal,77,83,92,59,40,0,LCM,20,60000000,Manchester City,
G. Chiellini,94000,35,Italy,46,58,60,90,88,0,LCB,3,15500000,Juventus,
H. Lloris,125000,33,France,0,0,0,10,18,84,GK,1,27000000,Tottenham Hotspur,
L. Sui°rez,280000,33,Uruguay,90,82,83,45,38,0,SUB,9,31500000,Barcelona,
L. Modric,260000,34,Croatia,76,89,88,75,71,0,RCM,10,24500000,Real Madrid,
A. Di Mari≠a,160000,32,Argentina,81,85,88,55,52,0,RW,11,39000000,Paris Saint-Germain,
W. Szczesny,105000,30,Poland,0,0,0,13,12,87,GK,1,34000000,Juventus,
P. Aubameyang,170000,31,Gabon,86,75,80,29,36,0,LW,14,45000000,Arsenal,
Sergio Busquets,240000,31,Spain,62,80,80,83,80,0,SUB,5,38000000,Barcelona,
C. Immobile,125000,30,Italy,88,67,83,33,32,0,RS,17,48500000,Lazio,
K. Navas,110000,33,Costa Rica,0,0,0,14,14,82,GK,1,27000000,Paris Saint-Germain,
A. Griezmann,290000,29,France,85,84,88,54,49,0,ST,7,50500000,Barcelona,
H. Son,165000,27,Korea Republic,86,80,87,34,33,0,LM,7,52500000,Tottenham Hotspur,
Roberto Firmino,190000,28,Brazil,80,81,90,64,42,0,CF,9,52000000,Liverpool,
R. Varane,220000,27,France,49,64,64,87,86,0,RCB,5,46500000,Real Madrid,
P. Pogba,190000,27,France,81,86,85,67,65,0,RDM,6,50000000,Manchester United,
M. Verratti,135000,27,Italy,60,85,90,82,83,0,LCM,6,50000000,Paris Saint-Germain,
A. Gomez,100000,32,Argentina,79,84,88,30,34,0,LF,10,34500000,Atalanta,
Pique,220000,33,Spain,61,71,67,86,84,0,RCB,3,21000000,Barcelona,
David Silva,58000,34,Spain,74,88,88,53,29,0,CAM,21,22500000,Real Sociedad,
Y. Sommer,55000,31,Switzerland,0,0,0,19,12,87,GK,1,28500000,Borussia Mionchengladbach,
