name,pay,age,nationality,shooting,passing,dribbling,Intercept,Stealing,goalkeeper_skill,team_position,team_jersey_number,value,club_name
L. Messi,560000,33,Argentina,92,91,95,35,24,0,midfielder,10,67500000,Barcelona
Cristiano Ronaldo,220000,35,Portugal,93,81,89,32,24,0,attacker,7,46000000,Juventus
J. Oblak,125000,27,Slovenia,0,0,0,12,18,90,goalkeeper,13,75000000,Atletico Madrid
R. Lewandowski,240000,31,Poland,91,78,85,42,19,0,attacker,9,80000000,Bayern Munich
Neymar Jr,270000,28,Brazil,85,86,94,30,29,0,attacker,10,90000000,Paris Saint-Germain
K. De Bruyne,370000,29,Belgium,86,93,88,65,53,0,midfielder,17,87000000,Manchester City
K. Mbappe,160000,21,France,86,78,91,34,32,0,attacker,7,105500000,Paris Saint-Germain
M. ter Stegen,260000,28,Germany,0,0,0,13,10,88,goalkeeper,1,69500000,Barcelona
V. van Dijk,210000,28,Netherlands,60,71,71,93,86,0,defender,4,75500000,Liverpool
Alisson,160000,27,Brazil,0,0,0,19,16,91,goalkeeper,1,62500000,Liverpool
S. Mane,250000,28,Senegal,85,80,90,42,38,0,attacker,10,78000000,Liverpool
M. Salah,250000,28,Egypt,86,81,90,43,41,0,attacker,11,78000000,Liverpool
T. Courtois,250000,28,Belgium,0,0,0,18,16,85,goalkeeper,1,56000000,Real Madrid
S. Aguero,300000,32,Argentina,90,77,88,29,24,0,attacker,10,53000000,Manchester City
Sergio Ramos,300000,34,Spain,70,76,73,88,90,0,defender,4,24500000,Real Madrid
K. Benzema,350000,32,France,85,81,86,24,18,0,attacker,9,53000000,Real Madrid
M. Neuer,125000,34,Germany,0,0,0,10,11,86,goalkeeper,1,29000000,Bayern Munich
Casemiro,310000,28,Brazil,73,76,72,88,87,0,midfielder,14,59500000,Real Madrid
Ederson,195000,26,Brazil,0,0,0,15,8,86,goalkeeper,31,53500000,Manchester City
R. Sterling,270000,25,England,81,79,90,53,47,0,attacker,7,72500000,Manchester City
J. Kimmich,145000,25,Germany,72,86,84,84,79,0,midfielder,6,65000000,Bayern Munich
P. Dybala,190000,26,Argentina,85,84,92,48,40,0,attacker,10,71000000,Juventus
S. Handanovicç,100000,35,Slovenia,0,0,0,10,13,89,goalkeeper,1,16000000,Inter Milan
T. Kroos,310000,30,Germany,81,91,81,73,60,0,midfielder,8,55000000,Real Madrid
E. Hazard,350000,29,Belgium,82,83,92,27,22,0,attacker,7,58000000,Real Madrid
N. Kante,190000,29,France,66,76,81,92,90,0,midfielder,7,51000000,Chelsea
J. Sancho,82000,20,England,74,81,91,41,32,0,attacker,7,69500000,Borussia Dortmund
T. Alexander-Arnold,110000,21,England,66,87,80,83,79,0,defender,66,60000000,Liverpool
Bruno Fernandes,195000,25,Portugal,83,88,85,67,55,0,midfielder,18,63000000,Manchester United
A. Laporte,200000,26,France,50,72,68,89,88,0,defender,14,56000000,Manchester City
Fabinho,155000,26,Brazil,69,79,77,87,85,0,midfielder,3,54500000,Liverpool
A. Robertson,155000,26,Scotland,62,80,80,84,81,0,defender,26,53000000,Liverpool
Bernardo Silva,230000,25,Portugal,77,83,92,59,40,0,midfielder,20,60000000,Manchester City
G. Chiellini,94000,35,Italy,46,58,60,90,88,0,defender,3,15500000,Juventus
L. Suarez,280000,33,Uruguay,90,82,83,45,38,0,attacker,9,31500000,Barcelona
L. Modric,260000,34,Croatia,76,89,88,75,71,0,midfielder,10,24500000,Real Madrid
A. Di Maria,160000,32,Argentina,81,85,88,55,52,0,attacker,11,39000000,Paris Saint-Germain
W. Szczesny,105000,30,Poland,0,0,0,13,12,87,goalkeeper,1,34000000,Juventus
Sergio Busquets,240000,31,Spain,62,80,80,83,80,0,midfielder,5,38000000,Barcelona
C. Immobile,125000,30,Italy,88,67,83,33,32,0,attacker,17,48500000,Lazio
K. Navas,110000,33,Costa Rica,0,0,0,14,14,82,goalkeeper,1,27000000,Paris Saint-Germain
A. Griezmann,290000,29,France,85,84,88,54,49,0,attacker,7,50500000,Barcelona
Roberto Firmino,190000,28,Brazil,80,81,90,64,42,0,attacker,9,52000000,Liverpool
R. Varane,220000,27,France,49,64,64,87,86,0,defender,5,46500000,Real Madrid
P. Pogba,190000,27,France,81,86,85,67,65,0,midfielder,6,50000000,Manchester United
M. Verratti,135000,27,Italy,60,85,90,82,83,0,midfielder,6,50000000,Paris Saint-Germain
A. Gomez,100000,32,Argentina,79,84,88,30,34,0,attacker,10,34500000,Atalanta
Pique,220000,33,Spain,61,71,67,86,84,0,defender,3,21000000,Barcelona
Y. Sommer,55000,31,Switzerland,0,0,0,19,12,87,goalkeeper,1,28500000,Borussia Mionchengladbach
M. Hummels,93000,31,Germany,58,77,72,88,86,0,defender,15,33000000,Borussia Dortmund
J. Henderson,140000,30,England,74,84,79,83,77,0,midfielder,14,36500000,Liverpool
Jordi Alba,220000,31,Spain,69,81,83,80,82,0,defender,18,32000000,Barcelona
T. Muller,130000,30,Germany,82,82,78,57,46,0,midfielder,25,42000000,Bayern Munich
